                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6556,                 6.0749,                 4.0694,                0.00972,                0.54217,                0.01405,                0.00283,                 2.8793,                 3.9353,                 4.1993,             0.00066556,             0.00066556,             0.00066556
                      2,                 2.7176,                 4.3236,                 3.8733,                0.00995,                0.33133,                0.01159,                0.00211,                 2.9912,                  6.234,                 4.2298,              0.0013058,              0.0013058,              0.0013058
                      3,                 2.7498,                  3.942,                 3.7577,                0.01089,                0.28313,                0.01177,                0.00275,                 3.2256,                 5.0005,                 4.7214,              0.0019197,              0.0019197,              0.0019197
                      4,                 2.7494,                 3.7886,                 3.7298,                0.00583,                0.18675,                0.00411,                0.00082,                 3.0956,                 4.1339,                  4.148,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7425,                 3.7003,                 3.6998,                0.02495,                0.39157,                0.02271,                0.00549,                 2.9187,                 3.5206,                 4.0343,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.7992,                 3.5576,                 3.7111,                0.01493,                0.16265,                0.01043,                0.00252,                 3.1301,                 3.8554,                 4.2419,               0.001802,               0.001802,               0.001802
                      7,                 2.7715,                 3.5319,                 3.7316,                0.01708,                0.31928,                0.02498,                0.00422,                 2.9152,                 3.2811,                  4.074,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.8541,                 3.4629,                 3.7642,                0.01097,                0.31325,                0.00953,                0.00182,                  3.042,                 5.6331,                 4.2059,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.7734,                 3.4998,                 3.7277,                0.01259,                0.51205,                0.03086,                 0.0057,                 2.9299,                 4.7328,                 4.1081,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.7328,                 3.3717,                 3.6296,                0.02865,                0.38554,                0.04628,                0.00876,                 3.0292,                 3.6154,                  4.047,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.7953,                 3.3947,                 3.7192,                0.01608,                0.48795,                0.02501,                0.00463,                 3.0145,                 3.3003,                 4.1095,               0.001604,               0.001604,               0.001604
                     12,                 2.7858,                 3.3672,                 3.6869,                0.00681,                 0.3494,                0.01446,                0.00266,                 3.1537,                 3.8528,                 4.2926,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.8454,                 3.3163,                 3.7505,                0.01309,                0.44578,                0.03289,                0.00581,                 3.0025,                 3.4179,                 4.0404,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.8042,                  3.331,                 3.7616,                0.02812,                0.40964,                0.04333,                0.00841,                 3.0195,                 3.4769,                 4.0137,              0.0014852,              0.0014852,              0.0014852
                     15,                  2.863,                 3.2606,                 3.7346,                0.00924,                0.42771,                0.02409,                0.00369,                 2.9897,                 3.5701,                 4.0701,              0.0014456,              0.0014456,              0.0014456
