                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60058,                0.57944,                      1,                0.68042,              0.0001071,              0.0001071,              0.0001071
                      2,                0.48151,                0.57944,                      1,                 0.7323,             0.00022024,             0.00022024,             0.00022024
                      3,                0.44081,                0.58037,                      1,                0.69861,             0.00033226,             0.00033226,             0.00033226
                      4,                0.40755,                0.80748,                      1,                0.49847,             0.00044314,             0.00044314,             0.00044314
                      5,                0.41389,                0.38692,                      1,                0.89124,             0.00055289,             0.00055289,             0.00055289
                      6,                0.37387,                 0.6729,                      1,                0.60156,             0.00066151,             0.00066151,             0.00066151
                      7,                0.35035,                0.68972,                      1,                0.61121,             0.00069279,             0.00069279,             0.00069279
                      8,                0.34565,                0.83458,                      1,                0.46924,             0.00068926,             0.00068926,             0.00068926
                      9,                  0.335,                0.88131,                      1,                 0.4198,             0.00068573,             0.00068573,             0.00068573
                     10,                0.30061,                0.89533,                      1,                0.41431,             0.00068219,             0.00068219,             0.00068219
                     11,                0.28797,                0.82056,                      1,                0.47919,             0.00067866,             0.00067866,             0.00067866
                     12,                0.30538,                0.91776,                      1,                0.39386,             0.00067512,             0.00067512,             0.00067512
                     13,                0.29909,                0.81963,                      1,                0.49762,             0.00067159,             0.00067159,             0.00067159
                     14,                0.28449,                0.84019,                      1,                0.45764,             0.00066805,             0.00066805,             0.00066805
                     15,                 0.2945,                0.74953,                      1,                0.53253,             0.00066452,             0.00066452,             0.00066452
                     16,                0.30268,                0.91682,                      1,                0.39813,             0.00066099,             0.00066099,             0.00066099
                     17,                0.28376,                0.91028,                      1,                0.41785,             0.00065745,             0.00065745,             0.00065745
                     18,                  0.245,                0.75234,                      1,                 0.5332,             0.00065392,             0.00065392,             0.00065392
                     19,                0.25007,                0.90187,                      1,                0.42548,             0.00065038,             0.00065038,             0.00065038
                     20,                0.24964,                0.91495,                      1,                 0.3996,             0.00064685,             0.00064685,             0.00064685
                     21,                 0.2425,                0.78505,                      1,                0.50861,             0.00064331,             0.00064331,             0.00064331
                     22,                0.21613,                0.75794,                      1,                0.54602,             0.00063978,             0.00063978,             0.00063978
                     23,                0.27057,                0.85794,                      1,                0.44012,             0.00063625,             0.00063625,             0.00063625
                     24,                0.24662,                0.92991,                      1,                 0.4046,             0.00063271,             0.00063271,             0.00063271
                     25,                0.22523,                0.85701,                      1,                0.48529,             0.00062918,             0.00062918,             0.00062918
                     26,                0.22714,                 0.9271,                      1,                0.42853,             0.00062564,             0.00062564,             0.00062564
                     27,                 0.2195,                 0.8271,                      1,                0.47345,             0.00062211,             0.00062211,             0.00062211
                     28,                0.22046,                0.90935,                      1,                0.40979,             0.00061857,             0.00061857,             0.00061857
                     29,                0.22066,                0.81121,                      1,                0.49622,             0.00061504,             0.00061504,             0.00061504
                     30,                0.22069,                 0.8972,                      1,                0.41278,             0.00061151,             0.00061151,             0.00061151
                     31,                0.21686,                0.83271,                      1,                0.48151,             0.00060797,             0.00060797,             0.00060797
                     32,                0.20042,                0.89626,                      1,                0.41492,             0.00060444,             0.00060444,             0.00060444
                     33,                0.20669,                 0.9028,                      1,                0.42047,              0.0006009,              0.0006009,              0.0006009
                     34,                0.20284,                0.83832,                      1,                0.53809,             0.00059737,             0.00059737,             0.00059737
                     35,                0.20841,                0.92617,                      1,                0.39014,             0.00059383,             0.00059383,             0.00059383
                     36,                0.20335,                 0.9215,                      1,                0.40698,              0.0005903,              0.0005903,              0.0005903
                     37,                0.20131,                 0.8785,                      1,                0.43109,             0.00058677,             0.00058677,             0.00058677
                     38,                0.21833,                0.82991,                      1,                0.46967,             0.00058323,             0.00058323,             0.00058323
                     39,                0.18931,                0.93084,                      1,                0.41418,              0.0005797,              0.0005797,              0.0005797
                     40,                0.16736,                0.95327,                      1,                0.38501,             0.00057616,             0.00057616,             0.00057616
                     41,                0.18875,                 0.9215,                      1,                0.43829,             0.00057263,             0.00057263,             0.00057263
                     42,                0.17859,                0.94953,                      1,                0.36896,             0.00056909,             0.00056909,             0.00056909
