                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60524,                0.57757,                      1,                0.68091,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 0.4839,                0.57757,                      1,                 0.7356,             0.00020655,             0.00020655,             0.00020655
                      3,                0.43844,                0.58131,                      1,                0.68921,              0.0003126,              0.0003126,              0.0003126
                      4,                0.44055,                0.58972,                      1,                 0.6897,             0.00041813,             0.00041813,             0.00041813
                      5,                0.41736,                0.58318,                      1,                0.71399,             0.00052313,             0.00052313,             0.00052313
                      6,                 0.3922,                0.50935,                      1,                0.77087,              0.0006276,              0.0006276,              0.0006276
                      7,                0.36136,                0.82243,                      1,                0.47589,              0.0007034,              0.0007034,              0.0007034
                      8,                0.36472,                0.83925,                      1,                 0.4585,             0.00070163,             0.00070163,             0.00070163
                      9,                0.38267,                0.71308,                      1,                0.58899,             0.00069986,             0.00069986,             0.00069986
                     10,                0.34714,                0.73645,                      1,                0.57507,              0.0006981,              0.0006981,              0.0006981
                     11,                0.29971,                0.58411,                      1,                 0.7738,             0.00069633,             0.00069633,             0.00069633
                     12,                0.35422,                0.58411,                      1,                0.69226,             0.00069456,             0.00069456,             0.00069456
                     13,                0.33031,                0.90093,                      1,                0.43347,             0.00069279,             0.00069279,             0.00069279
                     14,                0.31349,                0.65981,                      1,                0.66785,             0.00069103,             0.00069103,             0.00069103
                     15,                0.30366,                0.79813,                      1,                 0.5083,             0.00068926,             0.00068926,             0.00068926
                     16,                0.31033,                0.74206,                      1,                0.54883,             0.00068749,             0.00068749,             0.00068749
                     17,                0.27964,                0.83738,                      1,                0.46613,             0.00068573,             0.00068573,             0.00068573
                     18,                0.26239,                0.84673,                      1,                 0.4679,             0.00068396,             0.00068396,             0.00068396
                     19,                0.28142,                0.82056,                      1,                 0.4939,             0.00068219,             0.00068219,             0.00068219
                     20,                0.28382,                0.85047,                      1,                0.56995,             0.00068042,             0.00068042,             0.00068042
                     21,                0.23463,                0.70654,                      1,                0.70776,             0.00067866,             0.00067866,             0.00067866
                     22,                0.24922,                0.51121,                      1,                  0.604,             0.00067689,             0.00067689,             0.00067689
                     23,                0.25375,                0.85234,                      1,                0.45789,             0.00067512,             0.00067512,             0.00067512
                     24,                0.21558,                0.72991,                      1,                0.57361,             0.00067336,             0.00067336,             0.00067336
                     25,                0.24518,                0.81028,                      1,                0.51025,             0.00067159,             0.00067159,             0.00067159
                     26,                0.22465,                0.83645,                      1,                 0.4873,             0.00066982,             0.00066982,             0.00066982
                     27,                 0.2511,                0.91963,                      1,                 0.4046,             0.00066805,             0.00066805,             0.00066805
                     28,                0.23197,                0.57757,                      1,                0.73315,             0.00066629,             0.00066629,             0.00066629
                     29,                0.21457,                0.88879,                      1,                0.43567,             0.00066452,             0.00066452,             0.00066452
                     30,                0.24514,                0.87664,                      1,                0.43359,             0.00066275,             0.00066275,             0.00066275
                     31,                0.21258,                0.92056,                      1,                0.39148,             0.00066099,             0.00066099,             0.00066099
                     32,                0.22923,                0.73645,                      1,                0.55481,             0.00065922,             0.00065922,             0.00065922
                     33,                0.21888,                0.84953,                      1,                 0.5127,             0.00065745,             0.00065745,             0.00065745
                     34,                0.21244,                0.69346,                      1,                0.57153,             0.00065568,             0.00065568,             0.00065568
                     35,                0.21733,                0.92897,                      1,                0.38898,             0.00065392,             0.00065392,             0.00065392
                     36,                0.18531,                0.84766,                      1,                 0.4649,             0.00065215,             0.00065215,             0.00065215
                     37,                0.23124,                 0.6972,                      1,                0.65674,             0.00065038,             0.00065038,             0.00065038
                     38,                0.21347,                0.92336,                      1,                0.42212,             0.00064862,             0.00064862,             0.00064862
                     39,                0.22715,                0.91682,                      1,                0.40149,             0.00064685,             0.00064685,             0.00064685
                     40,                0.19582,                0.94673,                      1,                0.38928,             0.00064508,             0.00064508,             0.00064508
                     41,                0.20062,                0.89439,                      1,                0.42151,             0.00064331,             0.00064331,             0.00064331
                     42,                0.20445,                0.83458,                      1,                0.47064,             0.00064155,             0.00064155,             0.00064155
                     43,                 0.1839,                0.91028,                      1,                0.41083,             0.00063978,             0.00063978,             0.00063978
                     44,                0.18334,                0.82991,                      1,                 0.5199,             0.00063801,             0.00063801,             0.00063801
                     45,                0.22262,                0.86636,                      1,                 0.4538,             0.00063625,             0.00063625,             0.00063625
                     46,                0.20838,                0.94112,                      1,                0.40594,             0.00063448,             0.00063448,             0.00063448
                     47,                0.18787,                0.85981,                      1,                0.45856,             0.00063271,             0.00063271,             0.00063271
                     48,                0.18251,                0.94206,                      1,                0.37091,             0.00063094,             0.00063094,             0.00063094
                     49,                0.17621,                 0.9486,                      1,                0.41193,             0.00062918,             0.00062918,             0.00062918
                     50,                 0.1724,                0.94112,                      1,                0.41174,             0.00062741,             0.00062741,             0.00062741
                     51,                0.18525,                0.92523,                      1,                0.39246,             0.00062564,             0.00062564,             0.00062564
                     52,                0.18754,                0.91589,                      1,                0.39984,             0.00062388,             0.00062388,             0.00062388
                     53,                0.18829,                0.94766,                      1,                0.40778,             0.00062211,             0.00062211,             0.00062211
                     54,                0.19456,                0.93084,                      1,                0.38812,             0.00062034,             0.00062034,             0.00062034
                     55,                0.18096,                0.93178,                      1,                0.38208,             0.00061857,             0.00061857,             0.00061857
                     56,                0.17789,                0.86449,                      1,                0.46088,             0.00061681,             0.00061681,             0.00061681
                     57,                0.17587,                0.79159,                      1,                0.49542,             0.00061504,             0.00061504,             0.00061504
                     58,                0.16669,                0.92523,                      1,                0.43414,             0.00061327,             0.00061327,             0.00061327
                     59,                 0.1753,                0.92243,                      1,                0.39691,             0.00061151,             0.00061151,             0.00061151
                     60,                0.20051,                 0.8972,                      1,                0.41742,             0.00060974,             0.00060974,             0.00060974
                     61,                0.18153,                0.91776,                      1,                0.39478,             0.00060797,             0.00060797,             0.00060797
                     62,                0.19045,                0.94579,                      1,                 0.3786,              0.0006062,              0.0006062,              0.0006062
                     63,                0.17888,                0.87477,                      1,                0.45563,             0.00060444,             0.00060444,             0.00060444
                     64,                 0.1673,                0.83084,                      1,                0.46863,             0.00060267,             0.00060267,             0.00060267
                     65,                0.16488,                0.86542,                      1,                0.44788,              0.0006009,              0.0006009,              0.0006009
                     66,                0.16305,                0.90374,                      1,                0.42175,             0.00059914,             0.00059914,             0.00059914
                     67,                0.19066,                0.94393,                      1,                0.37982,             0.00059737,             0.00059737,             0.00059737
                     68,                0.16387,                0.94953,                      1,                0.37262,              0.0005956,              0.0005956,              0.0005956
                     69,                0.17559,                0.91028,                      1,                0.39795,             0.00059383,             0.00059383,             0.00059383
                     70,                 0.1727,                0.90654,                      1,                0.39972,             0.00059207,             0.00059207,             0.00059207
                     71,                0.18041,                0.89813,                      1,                0.41351,              0.0005903,              0.0005903,              0.0005903
